customer_key,customer_number,customer_name,age,age_group,customer_segment,last_order_date,recency,total_orders,total_sales,total_quantity,lifespan,avg_order_value,avg_monthly_spend
1,AW00011000,Jon Yang,54,50 and above,VIP,2013-05-03,140,3,8249,8,8,2749,294
2,AW00011001,Eugene Huang,49,40-49,VIP,2013-12-10,133,3,6384,11,10,2128,182
3,AW00011002,Ruben Torres,54,50 and above,VIP,2013-02-23,143,3,8114,4,4,2704,324
4,AW00011003,Christy Zhu,52,50 and above,VIP,2013-05-10,140,3,8139,9,9,2713,280
5,AW00011004,Elizabeth Johnson,46,40-49,VIP,2013-05-01,140,3,8196,6,6,2732,292
6,AW00011005,Julio Ruiz,49,40-49,VIP,2013-05-02,140,3,8121,6,6,2707,280
7,AW00011006,Janet Alvarez,49,40-49,VIP,2013-05-14,140,3,8119,5,5,2706,289
8,AW00011007,Marco Mehta,56,50 and above,VIP,2013-03-19,142,3,8211,8,8,2737,315
9,AW00011008,Rob Verhoff,50,50 and above,VIP,2013-03-02,142,3,8106,7,7,2702,311
10,AW00011009,Shannon Carlson,56,50 and above,VIP,2013-05-09,140,3,8091,5,5,2697,288
11,AW00011010,Jacquelyn Suarez,56,50 and above,VIP,2013-05-23,140,3,8088,4,4,2696,288
12,AW00011011,Curtis Lu,56,50 and above,VIP,2013-03-19,142,3,8133,4,4,2711,301
13,AW00011012,Lauren Walker,46,40-49,New,2013-10-15,135,2,81,5,5,40,11
14,AW00011013,Ian Jenkins,46,40-49,New,2014-01-21,132,2,114,5,5,57,12
15,AW00011014,Sydney Bennett,52,50 and above,New,2013-04-30,141,2,138,6,5,69,138
16,AW00011015,Chloe Young,41,40-49,New,2013-01-18,144,1,2501,3,3,2501,2501
17,AW00011016,Wyatt Hill,41,40-49,New,2013-02-09,143,1,2332,3,3,2332,2332
18,AW00011017,Shannon Wang,76,50 and above,VIP,2013-10-14,135,3,6434,4,4,2144,194
19,AW00011018,Clarence Rai,70,50 and above,VIP,2013-10-24,135,3,6533,7,7,2177,197
20,AW00011019,Luke Lal,42,40-49,New,2014-01-12,132,17,880,33,20,51,80
21,AW00011020,Jordan King,41,40-49,New,2012-12-29,145,1,2317,2,2,2317,2317
22,AW00011021,Destiny Wilson,41,40-49,New,2013-01-23,144,1,2372,3,3,2372,2372
23,AW00011022,Ethan Zhang,41,40-49,New,2013-01-20,144,1,2322,2,2,2322,2322
24,AW00011023,Seth Edwards,41,40-49,New,2014-01-14,132,2,122,6,6,61,11
25,AW00011024,Russell Xie,41,40-49,New,2013-07-26,138,2,56,6,5,28,56
26,AW00011025,Alejandro Beck,74,50 and above,VIP,2013-10-25,135,3,6577,6,6,2192,199
27,AW00011026,Harold Sai,74,50 and above,VIP,2013-10-15,135,3,6575,7,7,2191,199
28,AW00011027,Jessie Zhao,73,50 and above,VIP,2013-10-24,135,3,6591,9,9,2197,199
